Position,Player,Matches,Innings,Not_out,Runs,Highest_Score,Average,Balls_faced,Strike_rate,Centuries,Half_centuaries,4's,6's,IPl_team,Role,year
150,Umran Malik,14,4,3,4,3*,4,8,50,0,0,0,0,Sunrises Hyderabad,Bowler,2022
151,Mustafizur Rahman,8,1,1,3,3*,0,5,60,0,0,0,0,Delhi Capitals,Bowler,2022
152,Kumar Kartikeya Singh,4,1,0,3,3,3,5,60,0,0,0,0,Mumbai Indians,Bowler,2022
153,Shivam Mavi,6,3,1,3,2,1.5,7,42.85,0,0,0,0,Kolkata Knight Riders,Bowler,2022
154,Harshit Rana,2,2,1,2,2,2,2,100,0,0,0,0,Kolkata Knight Riders,Bowler,2022
155,Navdeep Saini,2,1,0,2,2,2,2,100,0,0,0,0,Rajasthan Royals,Bowler,2022
156,Tristan Stubbs,2,2,0,2,2,1,4,50,0,0,0,0,Mumbai Indians,Bowler,2022
157,Pradeep Sangwan,3,1,0,2,2,2,5,40,0,0,0,0,Gujarat Titans,Bowler,2022
158,Fazalhaq Farooqi,3,1,1,2,2*,0,8,25,0,0,0,0,Sunrises Hyderabad,Bowler,2022
159,Jagadeesha Suchith,5,2,0,2,2,1,8,25,0,0,0,0,Sunrises Hyderabad,Bowler,2022
160,Tim Southee,9,5,1,2,1*,0.5,12,16.66,0,0,0,0,Kolkata Knight Riders,Bowler,2022
161,Nathan Coulter-Nile,1,1,1,1,1*,0,2,50,0,0,0,0,Rajasthan Royals,Bowler,2022
162,Anrich Nortje,6,1,1,1,1*,0,6,16.66,0,0,0,0,Delhi Capitals,Bowler,2022
